# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
127 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.662742 1 1.103175
128 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.481973 1 1.094488
129 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.558477 1 1.085938
130 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.629680 1 1.077519
131 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.589765 1 1.069231
132 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.518791 1 1.061069
133 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.664837 1 1.053030
134 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.578164 1 1.045113
135 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.518682 1 1.037313
136 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.428542 1 1.029630
137 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.521897 1 1.022059
138 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.521748 1 1.014599
139 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.713057 1 1.007246
140 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.723648 1 1.000000
141 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.810652 1 0.992857
142 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.578234 1 0.985816
143 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.754537 1 0.978873
144 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.726934 1 0.972028
145 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 46.240157 1 0.965278
146 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.426917 1 0.958621
147 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.681726 1 0.952055
148 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.535712 1 0.945578
149 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.451082 1 0.939189
150 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.194629 1 0.932886
151 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.604151 1 0.926667
152 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.568373 1 0.920530
153 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.854462 1 0.914474
154 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 18.543326 1 0.908497
